Task ID,Task Link,Task Name,Task Content,Status,Date Created,Date Created Text,Due Date,Due Date Text,Start Date,Start Date Text,Parent ID,Subtasks IDs,Attachments,Assignees,Tags,Priority,List Name,Folder Name/Path,Space Name,Time Estimated,Time Estimated Text,Checklists,Comments,Assigned Comments,Time Spent,Time Spent Text,Rolled Up Time,Rolled Up Time Text,Home Location ID,Home Location,Other Location IDs,Other Locations
86b9t7u68,https://app.clickup.com/t/86b9t7u68,"Task 4.1: Persona Migration","Migrate persona data to the database.",Closed,1778021119818,"5/5/2026, 4:45:19 PM CST",,"",,"",86b9t7u25,"","[]","[]","[]",3,"Backlog","","Development","28800000","8 h ","{}","[]","0", "",,NaN,,"901416159786","Development > Backlog","",""
86b9t7u3u,https://app.clickup.com/t/86b9t7u3u,"Epic 13: Advanced Cluster Navigation UX","Goal: Simplify navigation for multiple clusters.",Closed,1778021116495,"5/5/2026, 4:45:16 PM CST",,"",,"",null,"","[]","[]","[]",3,"Backlog","","Development","36000000","10 h ","{}","[]","0", "",,NaN,,"901416159786","Development > Backlog","",""
86b9t7uak,https://app.clickup.com/t/86b9t7uak,"Task 8.4: API Grouping","Update API to return filtered and grouped persona data.",complete,1778021124638,"5/5/2026, 4:45:24 PM CST",,"",,"",86b9t7u2y,"","[]","[]","[]",2,"Backlog","","Development","14400000","4 h ","{}","[]","0", "",,NaN,,"901416159786","Development > Backlog","",""
86b9t7uaa,https://app.clickup.com/t/86b9t7uaa,"Task 8.1: Schema Update","Update schema to support 'Cluster' labels.",complete,1778021124294,"5/5/2026, 4:45:24 PM CST",,"",,"",86b9t7u2y,"","[]","[]","[]",2,"Backlog","","Development","14400000","4 h ","{}","[]","0", "",,NaN,,"901416159786","Development > Backlog","",""
86b9t7uag,https://app.clickup.com/t/86b9t7uag,"Task 8.2: Clustered View","Refactor PersonaSelect.tsx to display grouped personas.",complete,1778021124581,"5/5/2026, 4:45:24 PM CST",,"",,"",86b9t7u2y,"","[]","[]","[]",2,"Backlog","","Development","28800000","8 h ","{}","[]","0", "",,NaN,,"901416159786","Development > Backlog","",""
86b9t7ub9,https://app.clickup.com/t/86b9t7ub9,"Task 9.3: Weighted Scoring","Develop weighted scoring utility in TypeScript.",complete,1778021125068,"5/5/2026, 4:45:25 PM CST",,"",,"",86b9t7u31,"","[]","[]","[]",2,"Backlog","","Development","14400000","4 h ","{}","[]","0", "",,NaN,,"901416159786","Development > Backlog","",""
86b9t7uay,https://app.clickup.com/t/86b9t7uay,"Task 9.1: Scorer Prompts","Define Micro-Agent Scorer prompts.",complete,1778021124791,"5/5/2026, 4:45:24 PM CST",,"",,"",86b9t7u31,"","[]","[]","[]",2,"Backlog","","Development","28800000","8 h ","{}","[]","0", "",,NaN,,"901416159786","Development > Backlog","",""
86b9t7ub8,https://app.clickup.com/t/86b9t7ub8,"Task 9.2: Parallel Pipeline","Implement parallel processing pipeline.",complete,1778021125061,"5/5/2026, 4:45:25 PM CST",,"",,"",86b9t7u31,"","[]","[]","[]",2,"Backlog","","Development","43200000","12 h ","{}","[]","0", "",,NaN,,"901416159786","Development > Backlog","",""
86b9t7u31,https://app.clickup.com/t/86b9t7u31,"Epic 9: Deterministic Scoring Engine (DSE)","Goal: Build a deterministic scoring engine for persona evaluations.",Closed,1778021116004,"5/5/2026, 4:45:16 PM CST",,"",,"",null,"","[]","[]","[]",2,"Backlog","","Development","144000000","40 h ","{}","[]","0", "",,NaN,,"901416159786","Development > Backlog","",""
86b9t7u6y,https://app.clickup.com/t/86b9t7u6y,"Task 5.5: Ingestion Tracker","Add an Ingestion Status tracker UI.",Closed,1778021120668,"5/5/2026, 4:45:20 PM CST",,"",,"",86b9t7u27,"","[]","[]","[]",2,"Backlog","","Development","14400000","4 h ","{}","[]","0", "",,NaN,,"901416159786","Development > Backlog","",""
86b9t7u6b,https://app.clickup.com/t/86b9t7u6b,"Task 5.1: Admin UI","Build the Admin Persona Management UI.",Closed,1778021120029,"5/5/2026, 4:45:20 PM CST",,"",,"",86b9t7u27,"","[]","[]","[]",2,"Backlog","","Development","36000000","10 h ","{}","[]","0", "",,NaN,,"901416159786","Development > Backlog","",""
86b9t7u6n,https://app.clickup.com/t/86b9t7u6n,"Task 5.4: Ingest API","Create the /api/admin/ingest pipeline.",Closed,1778021120504,"5/5/2026, 4:45:20 PM CST",,"",,"",86b9t7u27,"","[]","[]","[]",2,"Backlog","","Development","28800000","8 h ","{}","[]","0", "",,NaN,,"901416159786","Development > Backlog","",""
86b9t7u6e,https://app.clickup.com/t/86b9t7u6e,"Task 5.2: Persona Editor","Implement the Persona Editor form.",Closed,1778021120252,"5/5/2026, 4:45:20 PM CST",,"",,"",86b9t7u27,"","[]","[]","[]",2,"Backlog","","Development","36000000","10 h ","{}","[]","0", "",,NaN,,"901416159786","Development > Backlog","",""
86b9t7u6g,https://app.clickup.com/t/86b9t7u6g,"Task 5.3: Knowledge Dropzone","Build the Knowledge Dropzone for browser-based file uploads.",Closed,1778021120442,"5/5/2026, 4:45:20 PM CST",,"",,"",86b9t7u27,"","[]","[]","[]",2,"Backlog","","Development","28800000","8 h ","{}","[]","0", "",,NaN,,"901416159786","Development > Backlog","",""
86b9t7u27,https://app.clickup.com/t/86b9t7u27,"Epic 5: The Admin Intelligence Dashboard","Goal: Web UI for managing personas and knowledge.",Closed,1778021114794,"5/5/2026, 4:45:14 PM CST",,"",,"",null,"","[]","[]","[]",2,"Backlog","","Development","144000000","40 h ","{}","[]","0", "",,NaN,,"901416159786","Development > Backlog","",""
86b9t7u39,https://app.clickup.com/t/86b9t7u39,"Epic 11: Optimized Copywriter Engine & UX","Goal: Migrate Copywriter to streamObject and Collapsible architecture.",Closed,1778021116167,"5/5/2026, 4:45:16 PM CST",,"",,"",null,"","[]","[]","[]",2,"Backlog","","Development","86400000","24 h ","{}","[]","0", "",,NaN,,"901416159786","Development > Backlog","",""
86b9t7u38,https://app.clickup.com/t/86b9t7u38,"Epic 10: Multi-Tenant Cluster Permissions","Goal: Control user access to personas at the cluster level.",Closed,1778021116163,"5/5/2026, 4:45:16 PM CST",,"",,"",null,"","[]","[]","[]",2,"Backlog","","Development","108000000","30 h ","{}","[]","0", "",,NaN,,"901416159786","Development > Backlog","",""
86b9t7u3w,https://app.clickup.com/t/86b9t7u3w,"Epic 14: Collapsible Intelligence Factory","Goal: Transform Stress Test into collapsible workflow.",Closed,1778021116620,"5/5/2026, 4:45:16 PM CST",,"",,"",null,"","[]","[]","[]",2,"Backlog","","Development","144000000","40 h ","{}","[]","0", "",,NaN,,"901416159786","Development > Backlog","",""
86b9t7u43,https://app.clickup.com/t/86b9t7u43,"Epic 15: The Intelligence Matrix (Copywriter UX Refactor)","Goal: Linear list to high-density tabbed matrix.",Closed,1778021116795,"5/5/2026, 4:45:16 PM CST",,"",,"",null,"","[]","[]","[]",2,"Backlog","","Development","144000000","40 h ","{}","[]","0", "",,NaN,,"901416159786","Development > Backlog","",""
86b9t7udp,https://app.clickup.com/t/86b9t7udp,"Task 15.1: Auto-Select Primary","Toggling platform ON auto-selects first format.",complete,1778021128209,"5/5/2026, 4:45:28 PM CST",,"",,"",86b9t7u43,"","[]","[]","[]",2,"Backlog","","Development","14400000","4 h ","{}","[]","0", "",,NaN,,"901416159786","Development > Backlog","",""
86b9t7udw,https://app.clickup.com/t/86b9t7udw,"Task 15.2: PlatformTabSystem","Build icon-driven tab bar for selected networks.",complete,1778021128646,"5/5/2026, 4:45:28 PM CST",,"",,"",86b9t7u43,"","[]","[]","[]",2,"Backlog","","Development","28800000","8 h ","{}","[]","0", "",,NaN,,"901416159786","Development > Backlog","",""
86b9t7ue7,https://app.clickup.com/t/86b9t7ue7,"Task 15.5: Coverage Badges","Add badges to show selected/total formats.",complete,1778021129029,"5/5/2026, 4:45:29 PM CST",,"",,"",86b9t7u43,"","[]","[]","[]",2,"Backlog","","Development","21600000","6 h ","{}","[]","0", "",,NaN,,"901416159786","Development > Backlog","",""
86b9t7uer,https://app.clickup.com/t/86b9t7uer,"Task 15.6: Factory Ledger","Add sticky summary footer for generation scale.",complete,1778021129212,"5/5/2026, 4:45:29 PM CST",,"",,"",86b9t7u43,"","[]","[]","[]",2,"Backlog","","Development","28800000","8 h ","{}","[]","0", "",,NaN,,"901416159786","Development > Backlog","",""
86b9t7udy,https://app.clickup.com/t/86b9t7udy,"Task 15.3: FormatChipGrid","Develop 2/3-column grid of compact format pills.",complete,1778021128656,"5/5/2026, 4:45:28 PM CST",,"",,"",86b9t7u43,"","[]","[]","[]",2,"Backlog","","Development","28800000","8 h ","{}","[]","0", "",,NaN,,"901416159786","Development > Backlog","",""
86b9t7udx,https://app.clickup.com/t/86b9t7udx,"Task 15.4: Bulk Matrix Controls","Add 'Select All' toggle per platform tab.",complete,1778021128660,"5/5/2026, 4:45:28 PM CST",,"",,"",86b9t7u43,"","[]","[]","[]",2,"Backlog","","Development","21600000","6 h ","{}","[]","0", "",,NaN,,"901416159786","Development > Backlog","",""
86b9t7udb,https://app.clickup.com/t/86b9t7udb,"Task 14.2: PersonaCard Grid","Implement PersonaCard grid with single-click selection.",complete,1778021127650,"5/5/2026, 4:45:27 PM CST",,"",,"",86b9t7u3w,"","[]","[]","[]",2,"Backlog","","Development","21600000","6 h ","{}","[]","0", "",,NaN,,"901416159786","Development > Backlog","",""
86b9t7udk,https://app.clickup.com/t/86b9t7udk,"Task 14.6: RefinementPanel Wrap","Wrap RefinementPanel in collapsible architecture.",complete,1778021128106,"5/5/2026, 4:45:28 PM CST",,"",,"",86b9t7u3w,"","[]","[]","[]",2,"Backlog","","Development","21600000","6 h ","{}","[]","0", "",,NaN,,"901416159786","Development > Backlog","",""
86b9t7udj,https://app.clickup.com/t/86b9t7udj,"Task 14.5: Auto-Expansion Logic","Implement section auto-expansion and scroll logic.",complete,1778021128085,"5/5/2026, 4:45:28 PM CST",,"",,"",86b9t7u3w,"","[]","[]","[]",2,"Backlog","","Development","21600000","6 h ","{}","[]","0", "",,NaN,,"901416159786","Development > Backlog","",""
86b9t7ucz,https://app.clickup.com/t/86b9t7ucz,"Task 13.2: Context Indicators","Add visual 'Cluster Context' indicators.",complete,1778021127239,"5/5/2026, 4:45:27 PM CST",,"",,"",86b9t7u3u,"","[]","[]","[]",3,"Backlog","","Development","14400000","4 h ","{}","[]","0", "",,NaN,,"901416159786","Development > Backlog","",""
86b9t7ud1,https://app.clickup.com/t/86b9t7ud1,"Task 13.1: Upgrade PersonaSelect","Upgrade PersonaSelect to searchable combobox/tabs.",complete,1778021127234,"5/5/2026, 4:45:27 PM CST",,"",,"",86b9t7u3u,"","[]","[]","[]",3,"Backlog","","Development","21600000","6 h ","{}","[]","0", "",,NaN,,"901416159786","Development > Backlog","",""
86b9t7ucp,https://app.clickup.com/t/86b9t7ucp,"Task 12.1: Dossier Button","Implement 'View Persona Dossier' button in selectors.",complete,1778021126816,"5/5/2026, 4:45:26 PM CST",,"",,"",86b9t7u3t,"","[]","[]","[]",3,"Backlog","","Development","14400000","4 h ","{}","[]","0", "",,NaN,,"901416159786","Development > Backlog","",""
86b9t7ucq,https://app.clickup.com/t/86b9t7ucq,"Task 12.2: Shared Dossier Component","Refactor PersonaDossier into a shared component.",complete,1778021126841,"5/5/2026, 4:45:26 PM CST",,"",,"",86b9t7u3t,"","[]","[]","[]",3,"Backlog","","Development","28800000","8 h ","{}","[]","0", "",,NaN,,"901416159786","Development > Backlog","",""
86b9t7uc4,https://app.clickup.com/t/86b9t7uc4,"Task 11.1: streamObject Migration","Migrate Copywriter logic to streamObject.",complete,1778021126265,"5/5/2026, 4:45:26 PM CST",,"",,"",86b9t7u39,"","[]","[]","[]",2,"Backlog","","Development","28800000","8 h ","{}","[]","0", "",,NaN,,"901416159786","Development > Backlog","",""
86b9t7ucb,https://app.clickup.com/t/86b9t7ucb,"Task 11.3: Collapsible Architecture","Transform Copywriter into Collapsible Intelligence Factory.",complete,1778021126460,"5/5/2026, 4:45:26 PM CST",,"",,"",86b9t7u39,"","[]","[]","[]",2,"Backlog","","Development","28800000","8 h ","{}","[]","0", "",,NaN,,"901416159786","Development > Backlog","",""
86b9t7u2y,https://app.clickup.com/t/86b9t7u2y,"Epic 8: Persona Clustering & Layout","Goal: Update schema and UI to support persona clusters.",Closed,1778021115638,"5/5/2026, 4:45:15 PM CST",,"",,"",null,"","[]","[]","[]",2,"Backlog","","Development","57600000","16 h ","{}","[]","0", "",,NaN,,"901416159786","Development > Backlog","",""
86b9t7u49,https://app.clickup.com/t/86b9t7u49,"Epic 18: Account & Profile Management","Goal: Expand profile for business and personal details.",Open,1778021117123,"5/5/2026, 4:45:17 PM CST",,"",,"",null,"86b9t7ugq,86b9t7ugw,86b9t7uh4,86b9t7uh5,86b9t7uh8","[]","[]","[]",3,"Backlog","","Development","86400000","24 h ","{}","[]","0", "",,NaN,,"901416159786","Development > Backlog","",""
86b9t7u1m,https://app.clickup.com/t/86b9t7u1m,"Epic 2: Frontend De-Monolithization & UX Refinement","Goal: Refactor frontend for scalability and streaming.",Open,1778021114301,"5/5/2026, 4:45:14 PM CST",,"",,"",null,"86b9t7u5d,86b9t7u5g,86b9t7u5n,86b9t7u5w","[]","[]","[]",2,"Backlog","","Development","115200000","32 h ","{}","[]","0", "",,NaN,,"901416159786","Development > Backlog","",""
86b9t7u2m,https://app.clickup.com/t/86b9t7u2m,"Epic 22: Cluster Management Infra","Goal: Provide dedicated UI for admins to manage, rename, and delete persona clusters.",Open,1778021115216,"5/5/2026, 4:45:15 PM CST",,"",,"",null,"86b9t7u8k,86b9t7u8t,86b9t7u8y,86b9t7u90,86b9t7u93","[]","[]","[]",3,"Backlog","","Development","72000000","20 h ","{}","[]","0", "",,NaN,,"901416159786","Development > Backlog","",""
86b9t7u2h,https://app.clickup.com/t/86b9t7u2h,"Epic 21: Persona Sync & Integrity","Goal: Ensure filesystem-to-DB sync is non-destructive and respects manual UI edits.",Open,1778021115176,"5/5/2026, 4:45:15 PM CST",,"",,"",null,"86b9t7u89,86b9t7u8g,86b9t7u8h","[]","[]","[]",2,"Backlog","","Development","57600000","16 h ","{}","[]","0", "",,NaN,,"901416159786","Development > Backlog","",""
86b9t7u46,https://app.clickup.com/t/86b9t7u46,"Epic 17: Security & UX (2FA Evolution)","Goal: Harden account security with TOTP and SMS 2FA.",Open,1778021117013,"5/5/2026, 4:45:17 PM CST",,"",,"",null,"86b9t7ufh,86b9t7ufk,86b9t7ufj,86b9t7ufx,86b9t7ufy,86b9t7ug3,86b9t7ugd,86b9t7ugc,86b9t7uge,86b9t7ugt","[]","[]","[]",2,"Backlog","","Development","162000000","45 h ","{}","[]","0", "",,NaN,,"901416159786","Development > Backlog","",""
86b9t7u4f,https://app.clickup.com/t/86b9t7u4f,"Epic 19: Memory & Persistence (User History)","Goal: Persist and revisit Stress Test and Copywriter sessions.",Open,1778021117325,"5/5/2026, 4:45:17 PM CST",,"",,"",null,"86b9t7uhb,86b9t7uhd,86b9t7uhc,86b9t7uhq,86b9t7uht,86b9t7uhw","[]","[]","[]",2,"Backlog","","Development","172800000","48 h ","{}","[]","0", "",,NaN,,"901416159786","Development > Backlog","",""
86b9t7u1j,https://app.clickup.com/t/86b9t7u1j,"Epic 0: Platform Pivot & Railway Bridge","Goal: Move high-latency AI logic away from Vercel to eliminate timeout constraints.",Open,1778021114282,"5/5/2026, 4:45:14 PM CST",,"",,"",null,"86b9t7u4r,86b9t7u4p,86b9t7u4q","[]","[]","[]",1,"Backlog","","Development","86400000","24 h ","{}","[]","0", "",,NaN,,"901416159786","Development > Backlog","",""
86b9t7u20,https://app.clickup.com/t/86b9t7u20,"Epic 3: AI Pipeline Optimization & LLMOps Guardrails","Goal: Optimize AI pipeline and add guardrails.",Open,1778021114696,"5/5/2026, 4:45:14 PM CST",,"",,"",null,"86b9t7u5v,86b9t7u5z,86b9t7u61,86b9t7u62","[]","[]","[]",2,"Backlog","","Development","86400000","24 h ","{}","[]","0", "",,NaN,,"901416159786","Development > Backlog","",""
86b9t7u2v,https://app.clickup.com/t/86b9t7u2v,"Epic 6: Relational Intelligence (GraphRAG Evolution)","Goal: Implement GraphRAG for better relational intelligence.",Open,1778021115538,"5/5/2026, 4:45:15 PM CST",,"",,"",null,"86b9t7u9j,86b9t7u9f,86b9t7u9p,86b9t7u9u","[]","[]","[]",4,"Backlog","","Development","115200000","32 h ","{}","[]","0", "",,NaN,,"901416159786","Development > Backlog","",""
86b9t7u2x,https://app.clickup.com/t/86b9t7u2x,"Epic 7: Iterative Strategy Co-Pilot & Integrity Scoring","Goal: Develop iterative strategic tools and scoring.",Open,1778021115615,"5/5/2026, 4:45:15 PM CST",,"",,"",null,"86b9t7u9z,86b9t7u9y,86b9t7ua6,86b9t7ua7","[]","[]","[]",4,"Backlog","","Development","144000000","40 h ","{}","[]","0", "",,NaN,,"901416159786","Development > Backlog","",""
86b9t7u3t,https://app.clickup.com/t/86b9t7u3t,"Epic 12: Unified Strategic Access (Dossier Integration)","Goal: Provide immediate access to persona intelligence platform-wide.",Open,1778021116403,"5/5/2026, 4:45:16 PM CST",,"",,"",null,"","[]","[]","[]",3,"Backlog","","Development","43200000","12 h ","{}","[]","0", "",,NaN,,"901416159786","Development > Backlog","",""
86b9t7u44,https://app.clickup.com/t/86b9t7u44,"Epic 16: The Intelligence Wizard","Goal: Reduce user friction with co-authoring and iterative refinement.",Open,1778021116857,"5/5/2026, 4:45:16 PM CST",,"",,"",null,"86b9t7ueg,86b9t7uem,86b9t7uev,86b9t7uf4,86b9t7uf5,86b9t7uf6,86b9t7ufe,86b9t7uff","[]","[]","[]",2,"Backlog","","Development","201600000","56 h ","{}","[]","0", "",,NaN,,"901416159786","Development > Backlog","",""
86b9t7u5n,https://app.clickup.com/t/86b9t7u5n,"Task 2.3: Streaming States","Implement Suspense and streaming states.",complete,1778021118942,"5/5/2026, 4:45:18 PM CST",,"",,"",86b9t7u1m,"","[]","[]","[]",2,"Backlog","","Development","28800000","8 h ","{}","[]","0", "",,NaN,,"901416159786","Development > Backlog","",""
86b9t7ufk,https://app.clickup.com/t/86b9t7ufk,"Task 17.2: Camera Mode UI","Implement Camera Mode UI for App Download QR.",complete,1778021130869,"5/5/2026, 4:45:30 PM CST",,"",,"",86b9t7u46,"","[]","[]","[]",2,"Backlog","","Development","14400000","4 h ","{}","[]","0", "",,NaN,,"901416159786","Development > Backlog","",""
86b9t7ufy,https://app.clickup.com/t/86b9t7ufy,"Task 17.5: I18N Security Copy","Update messages.ts with security warnings.",complete,1778021131250,"5/5/2026, 4:45:31 PM CST",,"",,"",86b9t7u46,"","[]","[]","[]",2,"Backlog","","Development","3600000","1 h ","{}","[]","0", "",,NaN,,"901416159786","Development > Backlog","",""
86b9t7u5g,https://app.clickup.com/t/86b9t7u5g,"Task 2.2: Server Components","Migrate static data fetching to Server Components.",complete,1778021118715,"5/5/2026, 4:45:18 PM CST",,"",,"",86b9t7u1m,"","[]","[]","[]",2,"Backlog","","Development","28800000","8 h ","{}","[]","0", "",,NaN,,"901416159786","Development > Backlog","",""
86b9t7ufh,https://app.clickup.com/t/86b9t7ufh,"Task 17.1: Visual Distinction","Refactor profile to include extreme visual distinction.",complete,1778021130540,"5/5/2026, 4:45:30 PM CST",,"",,"",86b9t7u46,"","[]","[]","[]",2,"Backlog","","Development","14400000","4 h ","{}","[]","0", "",,NaN,,"901416159786","Development > Backlog","",""
86b9t7ufx,https://app.clickup.com/t/86b9t7ufx,"Task 17.4: Test Scan Check","Add gating button before revealing Setup QR.",complete,1778021131189,"5/5/2026, 4:45:31 PM CST",,"",,"",86b9t7u46,"","[]","[]","[]",2,"Backlog","","Development","7200000","2 h ","{}","[]","0", "",,NaN,,"901416159786","Development > Backlog","",""
86b9t7u5d,https://app.clickup.com/t/86b9t7u5d,"Task 2.1: Refactor Page","Refactor src/app/(app)/page.tsx into smaller components.",complete,1778021118670,"5/5/2026, 4:45:18 PM CST",,"",,"",86b9t7u1m,"","[]","[]","[]",2,"Backlog","","Development","28800000","8 h ","{}","[]","0", "",,NaN,,"901416159786","Development > Backlog","",""
86b9t7ufj,https://app.clickup.com/t/86b9t7ufj,"Task 17.3: Authenticator Mode UI","Implement Authenticator Mode UI for Setup QR.",complete,1778021130862,"5/5/2026, 4:45:30 PM CST",,"",,"",86b9t7u46,"","[]","[]","[]",2,"Backlog","","Development","14400000","4 h ","{}","[]","0", "",,NaN,,"901416159786","Development > Backlog","",""
86b9t7u2g,https://app.clickup.com/t/86b9t7u2g,"Epic 20: Persona Refactor & ID Migration","Goal: Transition to a robust numerical ID system while simplifying the UI and management workflow.",in progress,1778021115143,"5/5/2026, 4:45:15 PM CST",,"",,"",null,"86b9t7u75,86b9t7u7h,86b9t7u7m,86b9t7u7n,86b9t7u7u,86b9t7u7z,86b9t7u85,86b9t7u88","[]","[]","[]",2,"Backlog","","Development","180000000","50 h ","{}","[]","0", "75049648",20 h 51 m,675446832,187 h 37 m,"901416159786","Development > Backlog","",""
